start_ts,end_ts,src_ip,dst_ip,src_port,dst_port,protocol,tos,tcp_flags,packet_count,bytes,router_in_port,router_out_port
1361951994.844,1361951994.844,7.35.156.244,238.135.212.159,63205,40040,17,0,0,1,60,49,78
1361951998.108,1361951998.108,90.54.233.185,248.207.38.29,45447,53,17,32,0,1,59,57,49
1361951998.108,1361951998.108,41.43.208.46,89.131.162.219,12596,58840,17,0,0,1,129,50,78
1361951998.172,1361951998.172,41.43.210.230,174.140.88.130,1536,50188,17,0,0,1,48,49,78
1361951998.171,1361951998.171,71.254.227.238,7.35.1.13,0,11,1,32,0,1,168,57,49
1361951998.107,1361951998.107,7.35.156.245,216.175.176.117,40385,80,6,0,0,1,46,49,78
1361951998.875,1361951998.875,88.208.57.99,41.43.208.46,59308,12596,17,32,0,1,375,57,50
1361951998.875,1361951998.875,70.128.127.33,7.35.156.231,443,59744,6,0,0,1,717,78,50
1361951998.107,1361951998.107,7.35.93.125,239.165.131.233,25433,53,17,0,0,1,76,49,57
1361951998.171,1361951998.171,24.244.206.30,41.43.197.38,80,44100,6,0,0,1,52,78,50
1361951998.875,1361951998.875,41.43.220.82,114.131.12.174,40084,62006,17,0,0,1,165,50,57
1361951998.107,1361951998.107,168.138.44.164,7.35.156.241,443,25418,6,32,0,1,46,57,49
1361951998.107,1361951998.107,7.35.1.30,171.255.27.174,51413,58471,17,0,0,1,75,50,78
1361951998.107,1361951998.107,248.207.38.29,90.54.233.185,53,45447,17,0,0,1,134,50,78
1361951994.843,1361951994.843,7.35.156.244,238.137.214.46,63205,40036,17,0,0,1,62,49,78
1361951998.171,1361951998.171,24.244.206.29,41.43.197.38,80,42204,6,0,0,1,52,78,50
1361951998.059,1361951998.059,7.35.156.229,104.139.115.73,55462,17788,17,0,0,1,125,50,78
1361951998.059,1361951998.059,7.35.11.122,113.78.128.28,34095,53,17,0,0,1,69,50,78
1361951998.059,1361951998.059,67.105.137.52,248.207.38.29,45437,53,17,32,0,1,82,57,50
1361951998.059,1361951998.059,50.1.171.64,41.43.218.243,45729,25198,6,32,0,1,46,57,50
1361951998.059,1361951998.059,68.235.116.48,7.35.93.70,53,2030,17,32,0,1,503,57,50
1361951998.059,1361951998.059,7.35.156.229,98.210.55.183,55462,17788,17,0,0,1,126,50,57
1361951998.059,1361951998.059,216.84.74.71,41.43.213.116,3128,65314,6,0,0,1,52,50,50
1361951994.731,1361951994.731,7.35.156.244,238.135.55.96,63205,40036,17,0,0,1,64,50,78
1361951998.059,1361951998.059,7.35.157.38,18.141.190.84,46677,80,6,0,0,1,52,50,78
1361951998.059,1361951998.059,184.156.140.183,7.35.93.70,53,53827,17,32,0,1,84,57,50
1361951998.059,1361951998.059,53.151.31.75,248.207.48.41,53,24686,17,32,0,1,105,57,50
1361951998.059,1361951998.059,24.244.207.239,7.35.157.33,80,63127,6,0,0,1,52,78,50
1361951998.059,1361951998.059,180.113.200.241,248.207.38.29,20122,53,17,32,0,1,73,57,50
1361951998.059,1361951998.059,248.207.48.41,8.0.48.46,62332,53,17,0,0,1,86,50,57
1361951998.059,1361951998.059,248.207.48.41,110.204.192.48,9866,53,17,0,0,1,82,50,57
1361951998.059,1361951998.059,190.203.201.161,7.35.156.226,36220,62976,17,32,0,1,131,57,50
1361951998.059,1361951998.059,72.51.174.69,7.35.93.70,53,58438,17,32,0,1,107,57,50
1361951998.059,1361951998.059,239.165.131.233,7.35.93.125,53,25433,17,32,0,1,127,57,50
